"NSFTV.ID","PSA","Exp","Rep","DayOfImaging"
"NSFTV_109",101353,"E1",1,6
"NSFTV_109",121602,"E1",1,7
"NSFTV_109",150305,"E1",1,8
"NSFTV_109",174473,"E1",1,9
"NSFTV_109",NA,"E1",2,0
"NSFTV_109",NA,"E1",2,2
"NSFTV_109",NA,"E1",2,3
"NSFTV_109",NA,"E1",2,5
"NSFTV_109",NA,"E1",2,6
"NSFTV_109",NA,"E1",2,7
"NSFTV_109",NA,"E1",2,8
"NSFTV_109",NA,"E1",2,9
"NSFTV_109",41689,"E2",1,0
"NSFTV_109",64587,"E2",1,2
"NSFTV_109",76365,"E2",1,3
"NSFTV_109",104534,"E2",1,5
"NSFTV_109",118270,"E2",1,6
"NSFTV_109",126293,"E2",1,7
"NSFTV_109",140152,"E2",1,8
"NSFTV_109",157389,"E2",1,9
"NSFTV_109",NA,"E2",2,0
"NSFTV_109",NA,"E2",2,2
"NSFTV_109",NA,"E2",2,3
"NSFTV_109",NA,"E2",2,5
"NSFTV_109",NA,"E2",2,6
"NSFTV_109",NA,"E2",2,7
"NSFTV_109",NA,"E2",2,8
"NSFTV_109",NA,"E2",2,9
"NSFTV_109",33485,"E3",1,0
"NSFTV_109",49085,"E3",1,2
"NSFTV_109",57430,"E3",1,3
"NSFTV_109",72069,"E3",1,5
"NSFTV_109",79308,"E3",1,6
"NSFTV_109",91053,"E3",1,7
"NSFTV_109",106379,"E3",1,8
"NSFTV_109",121555,"E3",1,9
"NSFTV_109",NA,"E3",2,0
"NSFTV_109",NA,"E3",2,2
"NSFTV_109",NA,"E3",2,3
"NSFTV_109",NA,"E3",2,5
"NSFTV_109",NA,"E3",2,6
"NSFTV_109",NA,"E3",2,7
"NSFTV_109",NA,"E3",2,8
"NSFTV_109",NA,"E3",2,9
"NSFTV_11",39906,"E1",1,0
"NSFTV_11",60018,"E1",1,2
"NSFTV_11",68091,"E1",1,3
"NSFTV_11",98161,"E1",1,5
"NSFTV_11",115215,"E1",1,6
"NSFTV_11",131792,"E1",1,7
"NSFTV_11",163108,"E1",1,8
"NSFTV_11",195468,"E1",1,9
"NSFTV_11",NA,"E1",2,0
"NSFTV_11",NA,"E1",2,2
"NSFTV_11",NA,"E1",2,3
"NSFTV_11",NA,"E1",2,5
"NSFTV_11",NA,"E1",2,6
"NSFTV_11",NA,"E1",2,7
"NSFTV_11",NA,"E1",2,8
"NSFTV_11",NA,"E1",2,9
"NSFTV_11",76898,"E2",1,0
"NSFTV_11",102644,"E2",1,2
"NSFTV_11",116916,"E2",1,3
"NSFTV_11",145931,"E2",1,5
"NSFTV_11",169493,"E2",1,6
"NSFTV_11",197906,"E2",1,7
"NSFTV_11",216522,"E2",1,8
"NSFTV_11",255094,"E2",1,9
"NSFTV_11",NA,"E2",2,0
"NSFTV_11",NA,"E2",2,2
"NSFTV_11",NA,"E2",2,3
"NSFTV_11",NA,"E2",2,5
"NSFTV_11",NA,"E2",2,6
"NSFTV_11",NA,"E2",2,7
"NSFTV_11",NA,"E2",2,8
"NSFTV_11",NA,"E2",2,9
"NSFTV_11",53374,"E3",1,0
"NSFTV_11",69424,"E3",1,2
"NSFTV_11",81153,"E3",1,3
"NSFTV_11",107817,"E3",1,5
"NSFTV_11",127305,"E3",1,6
"NSFTV_11",142098,"E3",1,7
"NSFTV_11",156628,"E3",1,8
"NSFTV_11",176078,"E3",1,9
"NSFTV_11",NA,"E3",2,0
"NSFTV_11",NA,"E3",2,2
"NSFTV_11",NA,"E3",2,3
"NSFTV_11",NA,"E3",2,5
"NSFTV_11",NA,"E3",2,6
"NSFTV_11",NA,"E3",2,7
"NSFTV_11",NA,"E3",2,8
"NSFTV_11",NA,"E3",2,9
"NSFTV_112",26635,"E1",1,0
"NSFTV_112",43162,"E1",1,2
"NSFTV_112",50156,"E1",1,3
"NSFTV_112",69328,"E1",1,5
"NSFTV_112",86877,"E1",1,6
"NSFTV_112",94697,"E1",1,7
"NSFTV_112",116258,"E1",1,8
"NSFTV_112",145079,"E1",1,9
"NSFTV_112",NA,"E1",2,0
"NSFTV_112",NA,"E1",2,2
"NSFTV_112",NA,"E1",2,3
"NSFTV_112",NA,"E1",2,5
"NSFTV_112",NA,"E1",2,6
"NSFTV_112",NA,"E1",2,7
"NSFTV_112",NA,"E1",2,8
"NSFTV_112",NA,"E1",2,9
"NSFTV_112",47587,"E2",1,0
"NSFTV_112",74192,"E2",1,2
"NSFTV_112",83023,"E2",1,3
"NSFTV_112",118556,"E2",1,5
"NSFTV_112",136401,"E2",1,6
"NSFTV_112",149182,"E2",1,7
"NSFTV_112",168153,"E2",1,8
"NSFTV_112",202869,"E2",1,9
"NSFTV_112",NA,"E2",2,0
"NSFTV_112",NA,"E2",2,2
"NSFTV_112",NA,"E2",2,3
"NSFTV_112",NA,"E2",2,5
"NSFTV_112",NA,"E2",2,6
"NSFTV_112",NA,"E2",2,7
"NSFTV_112",NA,"E2",2,8
"NSFTV_112",NA,"E2",2,9
"NSFTV_112",30562,"E3",1,0
"NSFTV_112",48555,"E3",1,2
"NSFTV_112",57262,"E3",1,3
"NSFTV_112",80332,"E3",1,5
"NSFTV_112",90964,"E3",1,6
"NSFTV_112",98099,"E3",1,7
"NSFTV_112",105434,"E3",1,8
"NSFTV_112",122488,"E3",1,9
"NSFTV_112",NA,"E3",2,0
"NSFTV_112",NA,"E3",2,2
"NSFTV_112",NA,"E3",2,3
"NSFTV_112",NA,"E3",2,5
"NSFTV_112",NA,"E3",2,6
"NSFTV_112",NA,"E3",2,7
"NSFTV_112",NA,"E3",2,8
"NSFTV_112",NA,"E3",2,9
"NSFTV_113",26303,"E1",1,0
"NSFTV_113",46190,"E1",1,2
"NSFTV_113",48890,"E1",1,3
"NSFTV_113",70095,"E1",1,5
"NSFTV_113",89294,"E1",1,6
"NSFTV_113",103925,"E1",1,7
"NSFTV_113",122324,"E1",1,8
"NSFTV_113",142685,"E1",1,9
"NSFTV_113",NA,"E1",2,0
"NSFTV_113",NA,"E1",2,2
"NSFTV_113",NA,"E1",2,3
"NSFTV_113",NA,"E1",2,5
"NSFTV_113",NA,"E1",2,6
"NSFTV_113",NA,"E1",2,7
"NSFTV_113",NA,"E1",2,8
"NSFTV_113",NA,"E1",2,9
"NSFTV_113",44775,"E2",1,0
"NSFTV_113",67140,"E2",1,2
"NSFTV_113",76191,"E2",1,3
"NSFTV_113",104953,"E2",1,5
"NSFTV_113",115167,"E2",1,6
"NSFTV_113",123074,"E2",1,7
"NSFTV_113",139282,"E2",1,8
"NSFTV_113",161813,"E2",1,9
"NSFTV_113",NA,"E2",2,0
"NSFTV_113",NA,"E2",2,2
"NSFTV_113",NA,"E2",2,3
"NSFTV_113",NA,"E2",2,5
"NSFTV_113",NA,"E2",2,6
"NSFTV_113",NA,"E2",2,7
"NSFTV_113",NA,"E2",2,8
"NSFTV_113",NA,"E2",2,9
"NSFTV_113",40935,"E3",1,0
"NSFTV_113",58147,"E3",1,2
"NSFTV_113",66492,"E3",1,3
"NSFTV_113",78423,"E3",1,5
"NSFTV_113",90031,"E3",1,6
"NSFTV_113",101251,"E3",1,7
"NSFTV_113",113562,"E3",1,8
"NSFTV_113",115739,"E3",1,9
"NSFTV_113",NA,"E3",2,0
"NSFTV_113",NA,"E3",2,2
"NSFTV_113",NA,"E3",2,3
"NSFTV_113",NA,"E3",2,5
"NSFTV_113",NA,"E3",2,6
"NSFTV_113",NA,"E3",2,7
"NSFTV_113",NA,"E3",2,8
"NSFTV_113",NA,"E3",2,9
"NSFTV_114",36124,"E1",1,0
"NSFTV_114",59344,"E1",1,2
"NSFTV_114",70023,"E1",1,3
"NSFTV_114",94160,"E1",1,5
"NSFTV_114",118051,"E1",1,6
"NSFTV_114",144087,"E1",1,7
"NSFTV_114",163370,"E1",1,8
"NSFTV_114",193000,"E1",1,9
"NSFTV_114",NA,"E1",2,0
"NSFTV_114",NA,"E1",2,2
"NSFTV_114",NA,"E1",2,3
"NSFTV_114",NA,"E1",2,5
"NSFTV_114",NA,"E1",2,6
"NSFTV_114",NA,"E1",2,7
"NSFTV_114",NA,"E1",2,8
"NSFTV_114",NA,"E1",2,9
"NSFTV_114",61414,"E2",1,0
"NSFTV_114",84297,"E2",1,2
"NSFTV_114",96133,"E2",1,3
"NSFTV_114",137661,"E2",1,5
"NSFTV_114",156901,"E2",1,6
"NSFTV_114",173652,"E2",1,7
"NSFTV_114",205988,"E2",1,8
