probIn scale
0.1045595 2.604832e-06
0.1068809 2.654083e-06
0.09532846 2.590459e-06
0.09643221 2.518192e-06
0.1009657 2.494361e-06
0.1007694 2.597974e-06
0.08706152 2.569757e-06
0.09560998 2.578128e-06
0.09926529 2.617549e-06
0.09043295 2.596597e-06
0.07216689 2.687722e-06
0.08091219 2.736502e-06
0.09597896 2.81168e-06
0.08065456 2.824379e-06
0.07226222 2.892602e-06
0.06996899 2.963986e-06
0.07526314 3.05297e-06
0.08911591 3.027278e-06
0.07787414 3.089047e-06
0.0692016 3.097471e-06
0.08879655 2.986516e-06
0.08839642 3.057926e-06
0.1007724 3.082316e-06
0.0991963 3.159552e-06
0.1069584 3.206509e-06
0.09501026 3.07686e-06
0.0866851 3.212364e-06
0.08657774 3.234627e-06
0.08604496 3.314222e-06
0.08930214 3.208795e-06
0.09430327 3.062995e-06
0.1192143 2.937225e-06
0.1196123 2.883262e-06
0.1152559 2.895966e-06
0.1241472 2.928724e-06
0.1234431 2.924779e-06
0.1417825 2.90131e-06
0.1464727 2.810931e-06
0.1494942 2.837146e-06
0.1503207 2.913658e-06
0.1376607 2.865902e-06
0.1373251 2.787153e-06
0.1610879 2.820946e-06
0.1464587 2.847091e-06
0.1630538 2.891255e-06
0.1569747 2.928126e-06
0.13539 2.955266e-06
0.1312157 2.893392e-06
0.1230688 2.793776e-06
0.1229984 2.812144e-06
0.1306322 2.803377e-06
0.124415 2.847409e-06
0.1176733 2.886529e-06
0.1356267 2.861063e-06
0.1308448 2.729955e-06
0.1319928 2.681997e-06
0.13168 2.631991e-06
0.115046 2.647736e-06
0.1092988 2.649875e-06
0.1161792 2.634751e-06
0.1151301 2.606736e-06
0.1224987 2.579728e-06
0.1182462 2.55219e-06
0.1205951 2.534864e-06
0.114678 2.483081e-06
0.1234164 2.490865e-06
0.1136444 2.488716e-06
0.1006185 2.47668e-06
0.09184932 2.495294e-06
0.08524731 2.483194e-06
0.07786283 2.435872e-06
0.08937653 2.393346e-06
0.08863338 2.380133e-06
0.09960511 2.356264e-06
0.1158616 2.353169e-06
0.1177869 2.381555e-06
0.09393091 2.44442e-06
0.09858338 2.337113e-06
0.09784345 2.334191e-06
0.1121521 2.385235e-06
0.09345377 2.423522e-06
0.1036424 2.397342e-06
0.1000658 2.336385e-06
0.08777431 2.40361e-06
0.1058266 2.400719e-06
0.10895 2.344627e-06
0.1112615 2.352786e-06
0.1027541 2.407246e-06
0.09914424 2.424205e-06
0.1028096 2.412013e-06
0.09430433 2.417249e-06
0.103339 2.445461e-06
0.09915941 2.453049e-06
0.09483616 2.521381e-06
0.09528237 2.557309e-06
0.1060413 2.597222e-06
0.09118963 2.58972e-06
0.08506257 2.539967e-06
0.08270678 2.552027e-06
0.09846504 2.598601e-06
0.108786 2.610231e-06
0.1093399 2.539106e-06
0.09622332 2.580863e-06
0.09162396 2.66222e-06
0.0970783 2.758323e-06
0.09940886 2.790457e-06
0.1062059 2.790169e-06
0.1017586 2.843757e-06
0.08533568 2.839011e-06
0.08390101 2.884371e-06
0.08224217 2.805483e-06
0.08025108 2.812101e-06
0.1000964 2.887265e-06
0.1107353 2.880268e-06
0.09315422 2.901994e-06
0.1001483 3.012996e-06
0.09006925 2.990558e-06
0.08390086 2.970552e-06
0.08296163 2.927274e-06
0.07478804 2.849334e-06
0.07901001 2.820696e-06
0.08573873 2.822187e-06
0.1001631 2.803796e-06
0.1075698 2.762641e-06
0.1069168 2.715867e-06
0.1090638 2.709547e-06
0.1046926 2.615125e-06
0.1128821 2.594695e-06
0.1129313 2.694899e-06
0.1162526 2.683139e-06
0.1052133 2.679122e-06
0.108212 2.661464e-06
0.1013499 2.702343e-06
0.1102444 2.728565e-06
0.09703685 2.718051e-06
0.09657955 2.632841e-06
0.1019421 2.565965e-06
0.1115023 2.605717e-06
0.1033664 2.596652e-06
0.1015274 2.60754e-06
0.1035248 2.614487e-06
0.09533339 2.620728e-06
0.1021328 2.609079e-06
0.1089089 2.627606e-06
0.1175666 2.637451e-06
0.1092356 2.606667e-06
0.1185898 2.64145e-06
