"NSFTV.ID","Rep","DayOfImaging","Exp","PSA"
"NSFTV_108","2","6","E2",NA
"NSFTV_108","2","7","E2",NA
"NSFTV_108","2","8","E2",NA
"NSFTV_108","2","9","E2",NA
"NSFTV_108","1","0","E3",19742
"NSFTV_108","1","2","E3",23155
"NSFTV_108","1","3","E3",25561
"NSFTV_108","1","5","E3",32222
"NSFTV_108","1","6","E3",36086
"NSFTV_108","1","7","E3",39835
"NSFTV_108","1","8","E3",45482
"NSFTV_108","1","9","E3",47508
"NSFTV_108","2","0","E3",NA
"NSFTV_108","2","2","E3",NA
"NSFTV_108","2","3","E3",NA
"NSFTV_108","2","5","E3",NA
"NSFTV_108","2","6","E3",NA
"NSFTV_108","2","7","E3",NA
"NSFTV_108","2","8","E3",NA
"NSFTV_108","2","9","E3",NA
"NSFTV_109","1","0","E1",29956
"NSFTV_109","1","2","E1",47540
"NSFTV_109","1","3","E1",54076
"NSFTV_109","1","5","E1",84517
"NSFTV_109","1","6","E1",101353
"NSFTV_109","1","7","E1",121602
"NSFTV_109","1","8","E1",150305
"NSFTV_109","1","9","E1",174473
"NSFTV_109","2","0","E1",NA
"NSFTV_109","2","2","E1",NA
"NSFTV_109","2","3","E1",NA
"NSFTV_109","2","5","E1",NA
"NSFTV_109","2","6","E1",NA
"NSFTV_109","2","7","E1",NA
"NSFTV_109","2","8","E1",NA
"NSFTV_109","2","9","E1",NA
"NSFTV_109","1","0","E2",41689
"NSFTV_109","1","2","E2",64587
"NSFTV_109","1","3","E2",76365
"NSFTV_109","1","5","E2",104534
"NSFTV_109","1","6","E2",118270
"NSFTV_109","1","7","E2",126293
"NSFTV_109","1","8","E2",140152
"NSFTV_109","1","9","E2",157389
"NSFTV_109","2","0","E2",NA
"NSFTV_109","2","2","E2",NA
"NSFTV_109","2","3","E2",NA
"NSFTV_109","2","5","E2",NA
"NSFTV_109","2","6","E2",NA
"NSFTV_109","2","7","E2",NA
"NSFTV_109","2","8","E2",NA
"NSFTV_109","2","9","E2",NA
"NSFTV_109","1","0","E3",33485
"NSFTV_109","1","2","E3",49085
"NSFTV_109","1","3","E3",57430
"NSFTV_109","1","5","E3",72069
"NSFTV_109","1","6","E3",79308
"NSFTV_109","1","7","E3",91053
"NSFTV_109","1","8","E3",106379
"NSFTV_109","1","9","E3",121555
"NSFTV_109","2","0","E3",NA
"NSFTV_109","2","2","E3",NA
"NSFTV_109","2","3","E3",NA
"NSFTV_109","2","5","E3",NA
"NSFTV_109","2","6","E3",NA
"NSFTV_109","2","7","E3",NA
"NSFTV_109","2","8","E3",NA
"NSFTV_109","2","9","E3",NA
"NSFTV_11","1","0","E1",39906
"NSFTV_11","1","2","E1",60018
"NSFTV_11","1","3","E1",68091
"NSFTV_11","1","5","E1",98161
"NSFTV_11","1","6","E1",115215
"NSFTV_11","1","7","E1",131792
"NSFTV_11","1","8","E1",163108
"NSFTV_11","1","9","E1",195468
"NSFTV_11","2","0","E1",NA
"NSFTV_11","2","2","E1",NA
"NSFTV_11","2","3","E1",NA
"NSFTV_11","2","5","E1",NA
"NSFTV_11","2","6","E1",NA
"NSFTV_11","2","7","E1",NA
"NSFTV_11","2","8","E1",NA
"NSFTV_11","2","9","E1",NA
"NSFTV_11","1","0","E2",76898
"NSFTV_11","1","2","E2",102644
"NSFTV_11","1","3","E2",116916
"NSFTV_11","1","5","E2",145931
"NSFTV_11","1","6","E2",169493
"NSFTV_11","1","7","E2",197906
"NSFTV_11","1","8","E2",216522
"NSFTV_11","1","9","E2",255094
"NSFTV_11","2","0","E2",NA
"NSFTV_11","2","2","E2",NA
"NSFTV_11","2","3","E2",NA
"NSFTV_11","2","5","E2",NA
"NSFTV_11","2","6","E2",NA
"NSFTV_11","2","7","E2",NA
"NSFTV_11","2","8","E2",NA
"NSFTV_11","2","9","E2",NA
"NSFTV_11","1","0","E3",53374
"NSFTV_11","1","2","E3",69424
"NSFTV_11","1","3","E3",81153
