"NSFTV.ID","PSA_8_2013","PSA_9_2013","PSA_11_2013","PSA_12_2013","PSA_14_2013","PSA_15_2013","PSA_16_2013","PSA_17_2013","PSA_18_2013","PSA_19_2013","PSA_20_2013","PSA_21_2013","PSA_22_2013","PSA_23_2013","PSA_24_2013","PSA_25_2013","PSA_26_2013","PSA_27_2013"
"NSFTV_15",2495.173321,3395.569472,4473.817138,5475.17889,8034.424758,10192.69555,11519.97182,13429.67382,16231.08582,20225.50413,25111.75182,31981.97323,39680.17768,48081.18439,56832.38142,70000.40526,81648.61241,94815.14323
"NSFTV_150",2628.589987,3237.819472,5157.650471,6268.012223,9383.674758,11271.02888,13551.13848,15178.50716,18062.25248,22489.1708,28010.33516,32595.38989,39840.76102,48012.51772,55912.54809,66373.73859,76058.36241,90195.3099
"NSFTV_151",2227.673321,2680.402805,4541.150471,5217.345556,7691.591425,9189.028883,10946.97182,13141.84049,16430.58582,20137.1708,25725.58516,31795.47323,41373.01102,49068.35105,58839.38142,70405.23859,83401.44575,97415.47656
"NSFTV_152",2773.589987,3502.819472,5472.150471,6555.92889,10550.67476,12621.52888,15911.47182,19695.75716,22408.50248,26938.08747,34235.25182,42291.63989,52207.84435,64464.51772,75819.79809,91185.73859,107192.6124,127755.2266
"NSFTV_153",2959.673321,3484.069472,5830.817138,7389.345556,11257.42476,14037.02888,16064.63848,18378.34049,22311.58582,28643.50413,35413.58516,41622.30656,51356.34435,61806.18439,70447.21475,85499.07192,99520.77908,115955.8099
"NSFTV_154",4196.506654,5138.819472,8137.650471,10838.34556,15315.42476,19394.86222,24052.80515,27883.34049,33249.91915,40587.83747,51916.00182,59559.80656,71649.09435,88349.43439,102298.1314,119754.4886,138208.3624,163035.1432
"NSFTV_155",2847.589987,3820.736139,6074.817138,8195.92889,12403.42476,15473.19555,18585.30515,21647.50716,26517.16915,33590.9208,42041.66849,51250.47323,64414.26102,78287.01772,92125.29809,110233.3219,128560.9457,150994.4766
"NSFTV_156",3407.173321,4346.236139,6495.317138,7930.512223,12718.25809,16404.36222,20452.13848,24500.34049,29688.91915,36380.00413,46645.75182,58661.63989,74066.67768,88612.85105,105780.5481,125238.2386,149725.6124,174594.6432
"NSFTV_157",2207.339987,2827.902805,4331.817138,5240.67889,7730.924758,9200.69555,11296.80515,12921.67382,15016.91915,18685.6708,24148.41849,29384.30656,37504.84435,46272.85105,53553.71475,65811.07192,76493.44575,89469.8099
"NSFTV_158",2099.173321,2849.402805,4847.483804,5242.67889,8270.924758,10255.86222,11889.30515,14487.50716,18089.75248,22503.00413,28269.25182,33807.80656,44609.67768,56294.35105,66601.21475,83542.90526,96993.61241,114871.6432
