"NSFTV.ID","PSA_19_2014","PSA_21_2014","PSA_22_2014","PSA_25_2014","PSA_26_2014","PSA_27_2014","PSA_28_2014","PSA_29_2014","PSA_30_2014","PSA_31_2014","PSA_32_2014","PSA_33_2014","PSA_34_2014","PSA_35_2014","PSA_36_2014","PSA_37_2014","PSA_38_2014","PSA_39_2014","PSA_40_2014","PSA_41_2014"
"NSFTV_131",39063.20394,59328.06169,68964.92979,92699.57928,106362.4186,124071.6276,147391.8615,172073.789,198679.0116,234766.5303,257424.9401,290104.7025,322579.6877,365499.5934,413085.1975,461059.7869,516379.1618,565559.2606,598049.4644,643061.6372
"NSFTV_132",50820.03728,72550.39503,85863.42979,117625.746,134871.5853,157684.9609,183523.0282,208926.289,236126.3449,278618.7803,297322.6067,335962.5359,376161.6877,420951.2601,456146.6975,510217.4536,551819.4951,593901.094,639695.1311,700523.3039
"NSFTV_133",25793.70394,34251.39503,39753.76313,56910.91262,63964.75195,72510.46093,85688.02817,99741.62234,116873.0278,127603.9806,140718.2734,158825.8692,179356.8544,200883.2601,227278.5308,250733.7869,273029.9951,299017.4273,333541.2978,367644.1372
"NSFTV_134",38870.04296,56016.57178,68213.44841,84312.86516,102226.5804,117466.7251,131748.1322,147247.9401,166200.4468,209350.6473,210611.5686,231937.1542,255605.0828,283639.056,316409.6053,354148.1719,385445.2808,421133.0726,446197.5184,491787.4931
"NSFTV_135",40734.53728,56922.06169,65947.26313,87343.24595,100660.9186,117824.6276,136909.8615,151937.6223,173413.3449,197960.814,229157.9401,255061.0359,286840.0211,325293.2601,373340.8642,410623.1203,441629.6618,491171.4273,514677.2978,548027.6372
"NSFTV_136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NSFTV_137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NSFTV_138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NSFTV_139",31908.20394,40143.56169,44044.09646,58374.74595,68996.58528,77026.1276,91348.86151,101226.4557,115440.6783,116006.5303,146235.2734,161458.2025,180827.5211,200077.9268,224582.0308,251787.1203,274122.8285,297526.594,323409.9644,346262.4705
"NSFTV_14",37330.16796,53031.57178,61755.82341,82353.84939,94987.70543,110848.6001,127214.1322,146045.6901,167124.3218,201358.314,206894.8186,233861.734,259427.0828,295343.931,331774.2303,365539.7969,397748.2808,439541.0726,475646.6094,503581.6181
