"NSFTV.ID","PSA","Treatment","Exp","Rep","DayOfImaging"
"NSFTV_78",3921,"Control","E1","1","0"
"NSFTV_79",2229,"Control","E1","1","0"
"NSFTV_8",3209,"Control","E1","1","0"
"NSFTV_80",3293,"Control","E1","1","0"
"NSFTV_81",3129,"Control","E1","1","0"
"NSFTV_83",1575,"Control","E1","1","0"
"NSFTV_84",3015,"Control","E1","1","0"
"NSFTV_85",3452,"Control","E1","1","0"
"NSFTV_86",4333,"Control","E1","1","0"
"NSFTV_87",3832,"Control","E1","1","0"
"NSFTV_88",3759,"Control","E1","1","0"
"NSFTV_89",1721,"Control","E1","1","0"
"NSFTV_9",2816,"Control","E1","1","0"
"NSFTV_90",3405,"Control","E1","1","0"
"NSFTV_92",2828,"Control","E1","1","0"
"NSFTV_93",2396,"Control","E1","1","0"
"NSFTV_94",1868,"Control","E1","1","0"
"NSFTV_96",2137,"Control","E1","1","0"
"NSFTV_97",2411,"Control","E1","1","0"
"NSFTV_98",2076,"Control","E1","1","0"
"NSFTV_99",2257,"Control","E1","1","0"
"NSFTV_1",3245,"Control","E1","1","1"
"NSFTV_10",3847,"Control","E1","1","1"
"NSFTV_101",2698,"Control","E1","1","1"
"NSFTV_102",2290,"Control","E1","1","1"
"NSFTV_103",1902,"Control","E1","1","1"
"NSFTV_104",2222,"Control","E1","1","1"
"NSFTV_105",3343,"Control","E1","1","1"
"NSFTV_106",2755,"Control","E1","1","1"
"NSFTV_107",4656,"Control","E1","1","1"
"NSFTV_108",2579,"Control","E1","1","1"
"NSFTV_109",3664,"Control","E1","1","1"
"NSFTV_11",4752,"Control","E1","1","1"
"NSFTV_112",2504,"Control","E1","1","1"
"NSFTV_113",3999,"Control","E1","1","1"
"NSFTV_114",3682,"Control","E1","1","1"
"NSFTV_115",3570,"Control","E1","1","1"
"NSFTV_116",3628,"Control","E1","1","1"
"NSFTV_117",4348,"Control","E1","1","1"
"NSFTV_118",3120,"Control","E1","1","1"
"NSFTV_120",3040,"Control","E1","1","1"
"NSFTV_121",2118,"Control","E1","1","1"
"NSFTV_122",3870,"Control","E1","1","1"
"NSFTV_123",3665,"Control","E1","1","1"
"NSFTV_124",2853,"Control","E1","1","1"
"NSFTV_125",4610,"Control","E1","1","1"
"NSFTV_128",2081,"Control","E1","1","1"
"NSFTV_129",3015,"Control","E1","1","1"
"NSFTV_13",4070,"Control","E1","1","1"
"NSFTV_130",3465,"Control","E1","1","1"
"NSFTV_131",2898,"Control","E1","1","1"
"NSFTV_132",2691,"Control","E1","1","1"
"NSFTV_133",2489,"Control","E1","1","1"
"NSFTV_134",3541,"Control","E1","1","1"
"NSFTV_135",2731,"Control","E1","1","1"
"NSFTV_139",1985,"Control","E1","1","1"
"NSFTV_14",2368,"Control","E1","1","1"
